"Zaman damgası","Bölümünüz nedir?","Kaçıncı sınıftasınız?","İlk işinizde kaç TL maaş almayı bekliyorsunuz?"
"2018/02/23 7:36:42 ÖS GMT+1","Makine Mühendisliği","4","4500"
"2018/02/23 7:37:30 ÖS GMT+1","İktisat","3","4500"
"2018/02/23 7:37:36 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","3","3500"
"2018/02/23 7:38:35 ÖS GMT+1","Fizik","4","6000"
"2018/02/23 7:41:14 ÖS GMT+1","Turizm İşletmeciliği","4","5000"
"2018/02/23 7:46:23 ÖS GMT+1","İngilizce Öğretmenliği","4","3200"
"2018/02/23 7:46:42 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 7:51:26 ÖS GMT+1","Çeviribilim","3","2200"
"2018/02/23 7:51:46 ÖS GMT+1","Uluslararası Ticaret","2","3000"
"2018/02/23 7:52:27 ÖS GMT+1","Psikoloji","4","2400"
"2018/02/23 7:52:59 ÖS GMT+1","Kimya","1","1603"
"2018/02/23 7:53:06 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","3000"
"2018/02/23 7:53:30 ÖS GMT+1","Makine Mühendisliği","1","1603"
"2018/02/23 7:53:34 ÖS GMT+1","Kimya","1","1603"
"2018/02/23 7:53:55 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","1603"
"2018/02/23 7:55:09 ÖS GMT+1","Endüstri Mühendisliği","2","3500"
"2018/02/23 7:58:39 ÖS GMT+1","Türk Dili ve Edebiyatı","Hazırlık","5500"
"2018/02/23 7:58:47 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","Hazırlık","10000"
"2018/02/23 8:00:46 ÖS GMT+1","Endüstri Mühendisliği","2","4500"
"2018/02/23 8:03:12 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","2","6500"
"2018/02/23 8:03:14 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","2500"
"2018/02/23 8:09:39 ÖS GMT+1","Kimya","Hazırlık","3500"
"2018/02/23 8:16:33 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 8:21:39 ÖS GMT+1","İşletme","3","5000"
"2018/02/23 8:25:14 ÖS GMT+1","Fen Bilgisi Öğretmenliği","3","3500"
"2018/02/23 8:27:37 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","4000"
"2018/02/23 8:29:16 ÖS GMT+1","İşletme","4","7500"
"2018/02/23 8:30:06 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:30:10 ÖS GMT+1","Uluslararası Ticaret","1","2750"
"2018/02/23 8:30:12 ÖS GMT+1","Psikoloji","1","3000"
"2018/02/23 8:30:26 ÖS GMT+1","İşletme","4","7000"
"2018/02/23 8:30:35 ÖS GMT+1","Felsefe","3","5000"
"2018/02/23 8:30:44 ÖS GMT+1","İktisat","1","3000"
"2018/02/23 8:30:44 ÖS GMT+1","İşletme","2","4500"
"2018/02/23 8:31:15 ÖS GMT+1","İşletme","2","2400"
"2018/02/23 8:31:44 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:32:36 ÖS GMT+1","Kimya","1","3000"
"2018/02/23 8:34:11 ÖS GMT+1","İngiliz Dili ve Edebiyatı","4","3500"
"2018/02/23 8:34:33 ÖS GMT+1","İşletme","3","3200"
"2018/02/23 8:36:36 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 8:36:38 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","3","5000"
"2018/02/23 8:36:48 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:37:07 ÖS GMT+1","İşletme","4","10000"
"2018/02/23 8:39:47 ÖS GMT+1","İşletme","3","2800"
"2018/02/23 8:40:13 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 8:41:08 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 8:41:20 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:41:21 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 8:41:30 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","2","3000"
"2018/02/23 8:41:33 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:41:36 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 8:42:32 ÖS GMT+1","Endüstri Mühendisliği","2","10000"
"2018/02/23 8:43:05 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 8:44:38 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 8:46:33 ÖS GMT+1","Çeviribilim","4","3100"
"2018/02/23 8:46:35 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","3","2500"
"2018/02/23 8:46:43 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 8:47:14 ÖS GMT+1","Bilgisayar Mühendisliği","4","5500"
"2018/02/23 8:47:27 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 8:47:32 ÖS GMT+1","Tarih","Hazırlık","4000"
"2018/02/23 8:49:10 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 8:50:03 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 8:51:04 ÖS GMT+1","Psikoloji","4","2500"
"2018/02/23 8:51:17 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:51:35 ÖS GMT+1","İşletme","3","4200"
"2018/02/23 8:52:27 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 8:53:37 ÖS GMT+1","İşletme","3","5000"
"2018/02/23 8:54:02 ÖS GMT+1","İşletme","3","15000"
"2018/02/23 8:54:13 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 8:54:14 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 8:54:40 ÖS GMT+1","Turizm İşletmeciliği","3","4000"
"2018/02/23 8:55:14 ÖS GMT+1","Makine Mühendisliği","2","4000"
"2018/02/23 8:55:21 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 8:55:31 ÖS GMT+1","Türk Dili ve Edebiyatı","4","3000"
"2018/02/23 8:55:39 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","Hazırlık","2000"
"2018/02/23 8:55:47 ÖS GMT+1","İşletme","4","3000"
"2018/02/23 8:56:03 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 8:56:23 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 8:56:55 ÖS GMT+1","Endüstri Mühendisliği","4","3500"
"2018/02/23 8:57:50 ÖS GMT+1","İşletme","2","3800"
"2018/02/23 8:58:01 ÖS GMT+1","İşletme","4","9000"
"2018/02/23 8:58:40 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","1","2500"
"2018/02/23 8:59:19 ÖS GMT+1","İnşaat Mühendisliği","4","4800"
"2018/02/23 8:59:35 ÖS GMT+1","Kimya Mühendisliği","3","4000"
"2018/02/23 8:59:38 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 8:59:56 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 9:01:02 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 9:01:18 ÖS GMT+1","Bilgisayar Mühendisliği","1","1603"
"2018/02/23 9:02:46 ÖS GMT+1","Makine Mühendisliği","2","4000"
"2018/02/23 9:04:32 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","6000"
"2018/02/23 9:05:07 ÖS GMT+1","İktisat","4","4500"
"2018/02/23 9:05:17 ÖS GMT+1","İngiliz Dili ve Edebiyatı","2","2500"
"2018/02/23 9:06:45 ÖS GMT+1","Endüstri Mühendisliği","4","4000"
"2018/02/23 9:07:43 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 9:08:33 ÖS GMT+1","İnşaat Mühendisliği","2","3200"
"2018/02/23 9:09:23 ÖS GMT+1","Psikoloji","4","2250"
"2018/02/23 9:11:51 ÖS GMT+1","İngilizce Öğretmenliği","3","3623"
"2018/02/23 9:11:56 ÖS GMT+1","Uluslararası Ticaret","Hazırlık","4000"
"2018/02/23 9:12:26 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","1","5500"
"2018/02/23 9:13:37 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 9:13:46 ÖS GMT+1","İşletme","3","2700"
"2018/02/23 9:14:06 ÖS GMT+1","İngilizce Öğretmenliği","4","2500"
"2018/02/23 9:14:15 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","5000"
"2018/02/23 9:15:10 ÖS GMT+1","İktisat","2","4000"
"2018/02/23 9:15:49 ÖS GMT+1","Yönetim Bilişim Sistemleri","4","3500"
