"Zaman damgası","Bölümünüz nedir?","Kaçıncı sınıftasınız?","İlk işinizde kaç TL maaş almayı bekliyorsunuz?"
"2018/02/26 2:59:44 ÖÖ GMT+1","Felsefe","2","3000"
"2018/02/26 4:37:25 ÖÖ GMT+1","Çeviribilim","3","3800"
"2018/02/26 5:02:57 ÖÖ GMT+1","Dilbilim","Hazırlık","3000"
"2018/02/26 5:57:11 ÖÖ GMT+1","İktisat","4","4000"
"2018/02/26 6:41:09 ÖÖ GMT+1","Yönetim Bilişim Sistemleri","3","2222"
"2018/02/26 7:02:46 ÖÖ GMT+1","İşletme","4","4000"
"2018/02/26 7:16:12 ÖÖ GMT+1","Elektrik-Elektronik Mühendisliği","2","4000"
"2018/02/26 7:32:45 ÖÖ GMT+1","Kimya Mühendisliği","1","1603"
"2018/02/26 7:41:17 ÖÖ GMT+1","Çeviribilim","3","4000"
"2018/02/26 7:56:42 ÖÖ GMT+1","Tarih","2","4000"
"2018/02/26 8:07:58 ÖÖ GMT+1","Rehberlik ve Psikolojik Danışmanlık","2","3000"
"2018/02/26 8:16:25 ÖÖ GMT+1","İktisat","3","7000"
"2018/02/26 8:24:27 ÖÖ GMT+1","İnşaat Mühendisliği","3","2150"
"2018/02/26 8:25:41 ÖÖ GMT+1","İnşaat Mühendisliği","4","2600"
"2018/02/26 8:43:42 ÖÖ GMT+1","Rehberlik ve Psikolojik Danışmanlık","2","2000"
"2018/02/26 9:00:02 ÖÖ GMT+1","Matematik","4","3500"
"2018/02/26 9:05:23 ÖÖ GMT+1","İnşaat Mühendisliği","3","2500"
"2018/02/26 9:15:50 ÖÖ GMT+1","Uluslararası Ticaret","4","3800"
"2018/02/26 9:28:16 ÖÖ GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","5500"
"2018/02/26 9:29:09 ÖÖ GMT+1","İşletme","4","4800"
"2018/02/26 9:44:21 ÖÖ GMT+1","Çeviribilim","3","3000"
"2018/02/26 9:49:42 ÖÖ GMT+1","Endüstri Mühendisliği","2","5000"
"2018/02/26 9:50:48 ÖÖ GMT+1","Çeviribilim","4","3000"
"2018/02/26 9:51:21 ÖÖ GMT+1","İnşaat Mühendisliği","4","3500"
"2018/02/26 9:55:23 ÖÖ GMT+1","Matematik","Hazırlık","5000 "
"2018/02/26 10:02:08 ÖÖ GMT+1","Endüstri Mühendisliği","4","6000"
"2018/02/26 10:42:06 ÖÖ GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","4000"
"2018/02/26 11:09:43 ÖÖ GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","2000"
"2018/02/26 11:15:33 ÖÖ GMT+1","Yönetim Bilişim Sistemleri","2","3900"
"2018/02/26 11:16:17 ÖÖ GMT+1","Çeviribilim","2","5000"
"2018/02/26 11:20:10 ÖÖ GMT+1","Elektrik-Elektronik Mühendisliği","2","4000"
"2018/02/26 11:30:29 ÖÖ GMT+1","İngilizce Öğretmenliği","3","3500"
"2018/02/26 11:56:31 ÖÖ GMT+1","İşletme","4","3500"
"2018/02/26 12:08:16 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","1","3000"
"2018/02/26 12:46:17 ÖS GMT+1","Bilgisayar Mühendisliği","2","2000"
"2018/02/26 12:58:58 ÖS GMT+1","İngiliz Dili ve Edebiyatı","4","3000"
"2018/02/26 1:08:13 ÖS GMT+1","Uluslararası Ticaret","1","3000"
"2018/02/26 1:50:06 ÖS GMT+1","Makine Mühendisliği","2","3500"
"2018/02/26 1:54:52 ÖS GMT+1","Bilgisayar Mühendisliği","3","5000"
"2018/02/26 2:03:11 ÖS GMT+1","Tarih","3","3000"
"2018/02/26 2:12:03 ÖS GMT+1","İnşaat Mühendisliği","1","5000"
"2018/02/26 2:45:46 ÖS GMT+1","İşletme","2","2500"
"2018/02/26 3:31:44 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","3","15000"
"2018/02/26 3:32:08 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","3","35000"
"2018/02/26 3:32:59 ÖS GMT+1","Turizm İşletmeciliği","3","35000"
"2018/02/26 3:33:10 ÖS GMT+1","Turizm İşletmeciliği","1","35000"
"2018/02/26 3:33:22 ÖS GMT+1","Turizm İşletmeciliği","2","30000"
"2018/02/26 3:33:32 ÖS GMT+1","Turizm İşletmeciliği","Hazırlık","48000"
"2018/02/26 3:33:47 ÖS GMT+1","Turizm İşletmeciliği","4","20000"
"2018/02/26 3:35:51 ÖS GMT+1","İktisat","3","5000"
"2018/02/26 3:44:15 ÖS GMT+1","Tarih","4","4500"
"2018/02/26 4:23:51 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","4","4200"
"2018/02/26 4:25:42 ÖS GMT+1","Kimya Mühendisliği","3","4500"
"2018/02/26 5:17:22 ÖS GMT+1","Fizik","3","4000"
"2018/02/26 5:45:21 ÖS GMT+1","Fizik Öğretmenliği","4","3000"
"2018/02/26 5:57:00 ÖS GMT+1","Türk Dili ve Edebiyatı","2","2000"
"2018/02/26 8:03:32 ÖS GMT+1","İktisat","2","5000"
"2018/02/26 8:13:58 ÖS GMT+1","Okul Öncesi Öğretmenliği","3","3500"
"2018/02/26 8:55:22 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","3000"
"2018/02/27 12:44:19 ÖÖ GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","1","4500"
